question_id	poll_id	cycle	state	pollster_id	pollster	sponsor_ids	sponsors	partisan	display_name	pollster_rating_id	pollster_rating_name	fte_grade	sample_size	population	population_full	methodology	office_type	seat_number	start_date	end_date	sponsor_candidate	tracking	nationwide_batch	created_at	notes	url	stage	dem	rep	ind
87385	49894	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	417	lv	lv	Online	U.S. House		6/17/2017	6/21/2017		TRUE	FALSE	9/18/2018 17:29		http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1	general	41	35.9	7.1
82797	52430	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	1247	rv	rv	Online	U.S. House		5/12/2018	5/16/2018		TRUE	FALSE	5/18/2018 22:33		http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1	general	37.5	36.4	7
79291	49902	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	1311	rv	rv	Online	U.S. House		6/20/2017	6/24/2017		TRUE	FALSE	10/27/2017 17:25		http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1	general	41.1	33.5	6.8
79448	49902	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	1580	a	a	Online	U.S. House		6/20/2017	6/24/2017		TRUE	FALSE	10/27/2017 17:47		http://polling.reuters.com/#poll/TM1212Y17/	general	37.3	29.1	6.8
87387	49874	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	394	lv	lv	Online	U.S. House		6/15/2017	6/19/2017		TRUE	FALSE	9/18/2018 17:29		http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1	general	46	30	6.8
87403	49820	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	575	lv	lv	Online	U.S. House		5/30/2017	6/3/2017		TRUE	FALSE	9/18/2018 17:30		http://polling.reuters.com/#!response/TM1212Y17/type/smallest/filters/LIKELY:1	general	36.6	32.8	6.8
79262	50011	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	1296	rv	rv	Online	U.S. House		7/19/2017	7/23/2017		TRUE	FALSE	10/27/2017 17:22		http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1	general	37.7	34.9	6.7
82800	52430	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	1436	a	a	Online	U.S. House		5/12/2018	5/16/2018		TRUE	FALSE	5/18/2018 22:33		http://polling.reuters.com/#poll/TM1212Y17/	general	34.3	33.8	6.6
80631	50981	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	1378	rv	rv	Online	U.S. House		2/23/2018	2/27/2018		TRUE	FALSE	3/2/2018 18:25		http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1	general	41.8	35.3	6.6
80117	50745	2018		744	Ipsos	71	Reuters		Ipsos	154	Ipsos	B-	1212	rv	rv	Online	U.S. House		12/23/2017	12/27/2017		TRUE	FALSE	12/29/2017 13:54		http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1	general	45.1	30.3	6.6
